Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units,New_Std Value
CHEMBL3942527,Cn1cc(-c2cc(NS(C)(=O)=O)ccc2OC2CCCOC2)c2cc[nH]c2c1=O,Ki,0.75,nM,3.675
CHEMBL3905543,Cn1cc(-c2ccccc2C(=O)N2CCOCC2)c2cc[nH]c2c1=O,Ki,22200.0,nM,17600.0
CHEMBL3914514,Cn1cc(-c2cc(C3=CCNCC3)ccc2OCC2CC2)c2cc[nH]c2c1=O,Ki,1250.0,nM,1096.0
CHEMBL235191,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,IC50,729.0,nM,401.5
CHEMBL5265827,CCNC(=O)C1=CC2C(c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)=CN(C)C(=O)C2N1,Kd,3300.0,nM,1651.05
CHEMBL5270205,COc1ccccc1CNc1cc(=O)[nH]c2ccc(-c3c(C)noc3C)cc12,Kd,35.0,nM,35.0
CHEMBL5269795,Cc1noc(C)c1-c1ccc2[nH]c(=O)cc(NCCc3ccccc3)c2c1,Kd,490.0,nM,490.0
CHEMBL3917690,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(CC(N)=O)cc2)c2cc[nH]c2c1=O,Ki,5.0,nM,3.6
CHEMBL3977309,Cn1cc(-c2cc(-c3ccc(F)nc3)ccc2OCC2CC2)c2cc[nH]c2c1=O,Ki,157.0,nM,289.5
CHEMBL3901643,Cc1cccc(Nc2n[nH]c3c2CN(S(C)(=O)=O)CC3)c1,IC50,20000.0,nM,20000.0
CHEMBL3970636,CC(=O)N1CCc2[nH]nc(Nc3cccc(C)c3)c2C1,IC50,20000.0,nM,20000.0
CHEMBL3898375,CCOc1cc(=O)n(C)cc1-c1cc(NCc2ncccc2C)ccc1Oc1ccc(F)cc1F,Ki,320.0,nM,306.0
CHEMBL2181717,Cc1noc(C)c1-c1ccc(OCCN2CCNCC2)c(S(=O)(=O)NC2CCCC2)c1,IC50,5200.0,nM,5200.0
CHEMBL2431076,Cc1noc2c1-c1sc(C)c(C)c1C(c1cccc(Cl)c1)=N[C@H]2CC(N)=O,IC50,470.0,nM,272.0
CHEMBL2431081,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cn1)=N[C@H]2CC(N)=O,IC50,72.0,nM,156.0
CHEMBL2431078,Cc1noc2c1-c1sc(C)c(C)c1C(c1ccccc1)=N[C@H]2CC(N)=O,IC50,29.0,nM,104.5
CHEMBL3974182,Cc1cc(-c2nc3ccc(N4CCN(C)CC4)cc3n2Cc2ccccc2)c[nH]c1=O,IC50,95.0,nM,95.0
CHEMBL3921176,Cn1nc(-c2nc3ccc(N4CCOCC4)cc3n2Cc2ccccc2)ccc1=O,IC50,218.0,nM,218.0
CHEMBL3919510,CCCS(=O)(=O)Nc1ccc(Oc2c(F)cc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,10.0,nM,13.1
CHEMBL3962653,CCS(=O)(=O)c1cnc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,21.7,nM,34.8
CHEMBL3931499,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2cccc(C(F)(F)F)c2)c2cc[nH]c2c1=O,Ki,21.8,nM,26.3
CHEMBL3977412,Cn1cc(-c2cc(S(C)(=O)=O)ccc2OCC2CCC2)c2cc[nH]c2c1=O,Ki,3.4,nM,3.2
CHEMBL3972262,Cc1nnc2c(NC3CCN(S(=O)(=O)CCCN(C)C)CC3)cc(N(C)Cc3ccccc3)nn12,IC50,37.0,nM,47.0
CHEMBL3946115,Cc1nnc2c(NC3CCN(S(=O)(=O)C4CCNC4)CC3)cc(N(C)Cc3ccccc3)nn12,IC50,32.0,nM,32.5
CHEMBL3926440,CCOc1cc(=O)n(C)cc1-c1cc(NCc2ccnn2C)ccc1Oc1ccc(F)cc1F,Ki,375.0,nM,255.0
CHEMBL3895202,CCOc1cc(=O)n(C)cc1-c1cc(N(CCc2ccccc2)S(=O)(=O)Cc2ccccc2)ccc1Oc1ccc(F)cc1F,Ki,288.0,nM,601.5
CHEMBL3961928,CCOc1cc(=O)n(C)cc1-c1cc(NC(=O)Cn2cccn2)ccc1Oc1ccc(F)cc1F,Ki,67.5,nM,152.75
CHEMBL3935928,CCOc1cc(=O)n(C)cc1-c1cc(NC(=O)Cc2ccc(-c3ccccc3)cc2)ccc1Oc1ccc(F)cc1F,Ki,911.0,nM,493.3
CHEMBL3935875,CCOc1cc(=O)n(C)cc1-c1cc(N(CC2CC2)C(=O)Cc2cc(F)ccc2Cl)ccc1Oc1ccc(F)cc1F,Ki,128.0,nM,183.0
CHEMBL3913018,CCOc1cc(=O)n(C)cc1-c1cc(N(Cc2ccc(OCc3ccccc3)cc2)C(=O)Cc2cc(F)ccc2Cl)ccc1Oc1ccc(F)cc1F,Ki,408.0,nM,323.0
CHEMBL3220859,Cc1noc(C)c1-c1ccc2c(c1)C(OCCCN1CCNCC1)CC2,IC50,3981.07,nM,3981.07
CHEMBL3220851,Cc1noc(C)c1-c1ccc2c(c1)C(=O)CC2,IC50,63095.73,nM,63095.73
CHEMBL3818389,Cc1noc(C)c1-c1cc(OCCCCC(=O)NO)cc(C(=O)c2ccccc2)c1,IC50,1490.0,nM,1490.0
CHEMBL2349346,COc1ccc(S(=O)(=O)Nc2cccc(-c3csc(=O)[nH]3)c2)cc1,IC50,4400.0,nM,4400.0
CHEMBL3654291,Cc1nn(C(C)C)c2c1C(c1ccc(Cl)cc1F)N(c1cc(C)c3nnc(C)n3c1)C2=O,IC50,59.0,nM,59.0
CHEMBL3650900,Cc1nn(C2CC2)c2c1[C@H](c1ccc(Cl)cc1)N(c1cc(Cl)c(=O)n(C)c1)C2=O,IC50,6700.0,nM,6700.0
CHEMBL3650897,COc1ncc(-n2nc3c(c2C(F)(F)F)C(c2ccc(Cl)cc2)N(c2cc(Cl)c(=O)n(C)c2)C3=O)c(OC)n1,IC50,270.0,nM,270.0
CHEMBL3654265,Cc1cc(N2C(=O)c3nn(C4COC4)c(C)c3C2c2ccc(Cl)cc2)cn(C)c1=O,IC50,160.0,nM,160.0
CHEMBL2431094,CC(=O)NC[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-c2c(C)noc21,IC50,2200.0,nM,1195.0
CHEMBL3650916,COc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(C)c4nnc(C)n4c2)C3=O)c(OC)n1,IC50,24.0,nM,24.0
CHEMBL3954022,Nc1ccc2nnc(-c3ccccc3)n2n1,Kd,109000.0,nM,109000.0
CHEMBL3654266,Cc1nn(C2COC2)c2c1C(c1ccc(Cl)cc1)N(c1cc(C)c(=O)n(C)c1)C2=O,IC50,140.0,nM,140.0
CHEMBL3650971,CC(=O)Nc1cc(N2C(=O)c3c(c(C)nn3C3CC3)C2c2ccc(Cl)cc2)nn2c(C)nnc12,IC50,1100.0,nM,1100.0
CHEMBL3654285,CCOC(=O)N1CC(n2nc(C)c3c2C(=O)N(c2cc(C)c4nnc(C)n4c2)C3c2ccc(Cl)cc2)C1,IC50,49.0,nM,49.0
CHEMBL3906032,Cc1cc(-c2nc3ncccc3n2Cc2ccccc2)cn(C)c1=O,IC50,313.0,nM,313.0
CHEMBL3943676,COc1ccc2nc(-c3cc(C)c(=O)n(C)c3)n(Cc3ccccc3)c2c1,IC50,44.0,nM,44.0
CHEMBL3909759,Cc1cc(-c2nc3cnc(OC(C)C)cc3n2[C@@H](C)c2ccccn2)cn(C)c1=O,IC50,205.0,nM,205.0
CHEMBL3972267,Cc1cc(-c2nc3cnc(N4CCOCC4)nc3n2Cc2ccccc2)cn(C)c1=O,IC50,50.0,nM,50.0
CHEMBL3916955,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc(CNC3CCOC3)[nH]c2c1=O,Ki,130.0,nM,74.15
CHEMBL3947850,CCS(=O)(=O)Nc1ccc(OC2CCOC2)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,3.4,nM,2.07
CHEMBL3910860,COc1ccc(NC(=O)c2ccc(Oc3ccc(F)cc3F)c(-c3cn(C)c(=O)c4[nH]ccc34)c2)c(OC)n1,Ki,486.0,nM,1393.0
CHEMBL3912255,Cn1nc(-c2cc(NS(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c2c1=O,Ki,20.7,nM,28.85
CHEMBL3972074,CCS(=O)(=O)c1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,1.3,nM,3.35
CHEMBL3982460,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc3ccncc3c2)c2cc[nH]c2c1=O,Ki,5.9,nM,9.600000000000001
CHEMBL3979505,Cn1cc(-c2cc(S(C)(=O)=O)ccc2OC2CCCCC2)c2cc[nH]c2c1=O,Ki,0.46,nM,0.645
CHEMBL3941493,CN1CCC[C@H]1COc1ccc(S(C)(=O)=O)cc1-c1cn(C)c(=O)c2[nH]ccc12,Ki,969.0,nM,597.0
CHEMBL3923025,CCS(=O)(=O)c1ccc(OC2CCS(=O)(=O)CC2)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,35.6,nM,22.3
CHEMBL3946150,Cn1nc(-c2cc(NS(C)(=O)=O)ccc2Oc2ccccc2)c2cc(C(=O)O)[nH]c2c1=O,Ki,12.4,nM,14.05
CHEMBL3906617,CN(C)S(=O)(=O)c1cnc(Oc2ccc(F)cc2F)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,7.8,nM,14.65
CHEMBL3976953,CCS(=O)(=O)c1ccc(NC2CC2)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,Ki,4.2,nM,4.300000000000001
CHEMBL3937908,Cn1cc(-c2cc(-c3ccc(N)nc3)ccc2OCC2CC2)c2cc[nH]c2c1=O,Ki,272.0,nM,208.5
CHEMBL3654322,Cc1cc(N2C(=O)c3c(c(C4CC4)nn3C)[C@H]2c2ccc(Cl)cc2)cn2c(C)nnc12,IC50,13.0,nM,13.0
CHEMBL1360858,CC(=O)N1CCC(c2c[nH]c3ccccc23)CC1,Kd,84800.0,nM,84800.0
CHEMBL3902514,CC(=O)N1CCc2c(c(Nc3cccc(-c4ccccc4)c3)nn2CC2CC2)C1,IC50,4600.0,nM,4600.0
CHEMBL3590385,COc1cncc(-c2cnc(N[C@@H]3CCNC[C@H]3OCC3CCS(=O)(=O)CC3)c3[nH]c(=O)c(C)cc23)c1,IC50,7943.28,nM,7943.28
CHEMBL4555828,COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OC[C@@H](O)CN4CCN(C)CC4)c(C)c3)nc2c1,IC50,3500.0,nM,3050.0
CHEMBL4453427,COc1cc(OC)c2c(=O)cc(-c3cc(C)c(OC[C@H](O)CN4CCCC4)c(C)c3)oc2c1,IC50,970.0,nM,1225.0
CHEMBL3893257,CCOc1cc(=O)n(C)cc1-c1cc(N(CCc2ccccc2Cl)S(=O)(=O)Cc2ccccc2)ccc1Oc1ccc(F)cc1F,Ki,238.0,nM,220.0
CHEMBL3914568,CCOc1cc(=O)n(C)cc1-c1cc(NC(=O)Cn2nc(C)cc2C)ccc1Oc1ccc(F)cc1F,Ki,22.6,nM,130.3
CHEMBL3581657,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ccnc(-c3cn[nH]c3)c12,Ki,201.0,nM,452.0
CHEMBL4078245,Cc1[nH]c(-c2ccccc2Oc2ccccc2)c2cc[nH]c(=O)c12,EC50,700.0,nM,575.0
CHEMBL4089989,CCOC(=O)c1[nH]c(C)c2c1CCCC2=O,Ki,25000.0,nM,25000.0
CHEMBL4095264,Cc1[nH]c(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cn[nH]c(=O)c12,EC50,750.0,nM,413.5
CHEMBL4079684,Cn1cc(-c2cc(NS(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c(=O)c21,EC50,46.0,nM,31.5
CHEMBL4097720,Cn1cc(-c2cc(CS(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c(=O)c21,EC50,40.0,nM,25.5
CHEMBL4113467,Cc1cc(-c2nc3cnc(N4CCOCC4)cc3n2[C@H](C)c2ccccc2)cn(C)c1=O,IC50,233.0,nM,233.0
CHEMBL3964415,CCOc1cc(=O)n(C)cc1-c1cc(N(Cc2nccs2)S(=O)(=O)CC)ccc1Oc1ccc(F)cc1F,Ki,110.0,nM,57.29
CHEMBL3974251,CCOc1cc(=O)n(C)cc1-c1cc(NCc2ccc(F)cc2)ccc1Oc1ccc(F)cc1F,Ki,61.8,nM,149.9
CHEMBL4128201,Cc1noc(C)c1-c1cc(O)cc(C(O)c2ccccn2)c1,IC50,4677.35,nM,4678.675
CHEMBL4130320,Cc1noc(C)c1-c1cc(O)cc(CN2CCCCC2)c1,IC50,4265.8,nM,4272.9
CHEMBL4130167,Cc1noc(C)c1-c1cc(O)cc(CN2CCCC2)c1,IC50,3235.94,nM,3252.9700000000003
CHEMBL4092336,COC(=O)c1ccccc1NC(=O)CSc1nc2cc(OC)ccc2[nH]1,IC50,100000.0,nM,100000.0
CHEMBL4068988,Cc1[nH]c(-c2ccccc2Oc2ccccc2)c2c1C(=O)CCC2,EC50,280.0,nM,360.0
CHEMBL4074891,Cc1[nH]c(-c2cc(NS(C)(=O)=O)ccc2Oc2ccc(F)cc2F)cc1C(N)=O,EC50,2300.0,nM,1335.0
CHEMBL4097227,Cc1[nH]c(-c2cc(NS(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2c1C(=O)CCC2,EC50,75.0,nM,86.0
